"","PointYrID","PointID","FIRE_ID","Fire_year","Year","TSB","TreeCov","ShrubCov","SnagBA","lat","long","burnsev","slope","elevation","aspect","visits","prefire","Burned"
"1","PL37A.S.2010","PL37A.S","2006Boulder",2006,2010,4,16,20,8.6,40.188834,-120.550112,34.59420013,15,1807,259,2,"mid closed",1
"2","PL37A.S.2011","PL37A.S","2006Boulder",2006,2011,5,16,20,8.6,40.188834,-120.550112,34.59420013,15,1807,259,2,"mid closed",1
"3","PL37A.S.2012","PL37A.S","2006Boulder",2006,2012,6,16,20,8.6,40.188834,-120.550112,34.59420013,15,1807,259,2,"mid closed",1
"4","PL37A.S.2013","PL37A.S","2006Boulder",2006,2013,7,16,20,8.6,40.188834,-120.550112,34.59420013,15,1807,259,1,"mid closed",1
"5","PL37A.S.2014","PL37A.S","2006Boulder",2006,2014,8,16,20,8.6,40.188834,-120.550112,34.59420013,15,1807,259,2,"mid closed",1
"6","PL37A.S.2015","PL37A.S","2006Boulder",2006,2015,9,14,21,8.6,40.188834,-120.550112,34.59420013,15,1807,259,1,"mid closed",1
"7","PL37A.W.2010","PL37A.W","2006Boulder",2006,2010,4,20,25,0.4,40.191072,-120.553065,16.40990067,23,1824,221,2,"late closed",1
"8","PL37A.W.2011","PL37A.W","2006Boulder",2006,2011,5,20,25,0.4,40.191072,-120.553065,16.40990067,23,1824,221,2,"late closed",1
"9","PL37A.W.2012","PL37A.W","2006Boulder",2006,2012,6,20,25,0.4,40.191072,-120.553065,16.40990067,23,1824,221,2,"late closed",1
"10","PL37A.W.2013","PL37A.W","2006Boulder",2006,2013,7,20,25,0.4,40.191072,-120.553065,16.40990067,23,1824,221,1,"late closed",1
"11","PL37A.W.2014","PL37A.W","2006Boulder",2006,2014,8,20,25,0.4,40.191072,-120.553065,16.40990067,23,1824,221,2,"late closed",1
"12","PL37A.W.2015","PL37A.W","2006Boulder",2006,2015,9,18,23,0.4,40.191072,-120.553065,16.40990067,23,1824,221,1,"late closed",1
"13","213_1.2013","213_1","2012Chips",2012,2013,1,4,4,11.2,40.138153,-121.073056,86.37509918,34,1716,254,2,"open",1
"14","213_10.2013","213_10","2012Chips",2012,2013,1,5,60,0.2,40.139776,-121.064993,35.63230133,25,1850,232,2,"late closed",1
"15","213_11.2013","213_11","2012Chips",2012,2013,1,0,1,19.4,40.141838,-121.06605,95.60679626,26,1850,259,2,"late closed",1
"16","213_12.2013","213_12","2012Chips",2012,2013,1,1,20,14,40.14384,-121.06726,91.88780212,30,1849,250,2,"late closed",1
"17","213_2.2013","213_2","2012Chips",2012,2013,1,3,1,10.2,40.137154,-121.070408,88.66400146,19,1786,301,2,"late closed",1
"18","213_2.2014","213_2","2012Chips",2012,2014,2,4,2,12.1,40.137154,-121.070408,88.66400146,19,1786,301,2,"late closed",1
"19","213_2.2015","213_2","2012Chips",2012,2015,3,4,3,14,40.137154,-121.070408,88.66400146,19,1786,301,2,"late closed",1
"20","213_3.2013","213_3","2012Chips",2012,2013,1,8,20,0.8,40.13612,-121.067808,15.76080036,14,1809,102,2,"Shrub",1
"21","213_3.2014","213_3","2012Chips",2012,2014,2,8,14,1.1,40.13612,-121.067808,15.76080036,14,1809,102,2,"Shrub",1
"22","213_3.2015","213_3","2012Chips",2012,2015,3,7,8,1.4,40.13612,-121.067808,15.76080036,14,1809,102,2,"Shrub",1
"23","213_4.2013","213_4","2012Chips",2012,2013,1,20,27,1.4,40.135085,-121.065185,19.3946991,10,1773,235,2,"late closed",1
