FID,OBJECTID,Project,PointYrID,PointID,Fire_ID,Fire_year,Year,TSB,Burned,TreeCov,ShrubCov,LiveBA,SnagBA,lat,long,burnsev,CC_BurnSev,Distance,slope,elevation,aspect,visits,WHRsize2,WHRtype2,WHRdens2,WHRtype15,Src_Year15,WHRsize15,WHRdens15,F2001star_,F2004stray,F2006bould,F2007moonl,F2008cold_,F2008cub_b,F2008rich_,F2012CHIPS,F2014bald_,F2000storr,dropped,prefire,cc_storrie,cc_bald,cc_boulder,cc_chips,cc_cold,cc_cub,cc_moonlit,cc_rich,cc_star,cc_straylo
0,1,MIS,PL37A.S.2010,PL37A.S,2006Boulder,2006,2010,3,1,16,20,4,8.6,40.188834,-120.550112,480,0,0,15,1807,259,2,4,SMC,4,SMC,2000,4,D,-9999,-9999,28,0,-9999,-9999,-9999,-9999,-9999,-9999,0, ,0,0,34.59420013,0,0,0,0,0,0,0
1,2,MIS,PL37A.S.2011,PL37A.S,2006Boulder,2006,2011,4,1,16,20,4,8.6,40.188834,-120.550112,480,0,0,15,1807,259,2,4,SMC,4,SMC,2000,4,D,-9999,-9999,28,0,-9999,-9999,-9999,-9999,-9999,-9999,0, ,0,0,34.59420013,0,0,0,0,0,0,0
2,3,MIS,PL37A.S.2012,PL37A.S,2006Boulder,2006,2012,5,1,16,20,4,8.6,40.188834,-120.550112,480,0,0,15,1807,259,2,4,SMC,4,SMC,2000,4,D,-9999,-9999,28,0,-9999,-9999,-9999,-9999,-9999,-9999,0, ,0,0,34.59420013,0,0,0,0,0,0,0
3,4,MIS,PL37A.S.2013,PL37A.S,2006Boulder,2006,2013,6,1,16,20,4,8.6,40.188834,-120.550112,480,0,0,15,1807,259,1,4,SMC,4,SMC,2000,4,D,-9999,-9999,28,0,-9999,-9999,-9999,-9999,-9999,-9999,0, ,0,0,34.59420013,0,0,0,0,0,0,0
4,5,MIS,PL37A.S.2014,PL37A.S,2006Boulder,2006,2014,7,1,16,20,4,8.6,40.188834,-120.550112,480,0,0,15,1807,259,2,4,SMC,4,SMC,2000,4,D,-9999,-9999,28,0,-9999,-9999,-9999,-9999,-9999,-9999,0, ,0,0,34.59420013,0,0,0,0,0,0,0
5,6,MIS,PL37A.S.2015,PL37A.S,2006Boulder,2006,2015,8,1,14,21,6,8.6,40.188834,-120.550112,480,0,0,15,1807,259,1,4,SMC,4,SMC,2000,4,D,-9999,-9999,28,0,-9999,-9999,-9999,-9999,-9999,-9999,0, ,0,0,34.59420013,0,0,0,0,0,0,0
6,7,MIS,PL37A.W.2010,PL37A.W,2006Boulder,2006,2010,3,1,20,25,6,0.4,40.191072,-120.553065,480,0,0,23,1824,221,2,5,SMC,3,SMC,2000,5,P,-9999,-9999,11,0,-9999,-9999,-9999,-9999,-9999,-9999,0, ,0,0,16.40990067,0,0,0,0,0,0,0
7,8,MIS,PL37A.W.2011,PL37A.W,2006Boulder,2006,2011,4,1,20,25,6,0.4,40.191072,-120.553065,480,0,0,23,1824,221,2,5,SMC,3,SMC,2000,5,P,-9999,-9999,11,0,-9999,-9999,-9999,-9999,-9999,-9999,0, ,0,0,16.40990067,0,0,0,0,0,0,0
8,9,MIS,PL37A.W.2012,PL37A.W,2006Boulder,2006,2012,5,1,20,25,6,0.4,40.191072,-120.553065,480,0,0,23,1824,221,2,5,SMC,3,SMC,2000,5,P,-9999,-9999,11,0,-9999,-9999,-9999,-9999,-9999,-9999,0, ,0,0,16.40990067,0,0,0,0,0,0,0
9,10,MIS,PL37A.W.2013,PL37A.W,2006Boulder,2006,2013,6,1,20,25,6,0.4,40.191072,-120.553065,480,0,0,23,1824,221,1,5,SMC,3,SMC,2000,5,P,-9999,-9999,11,0,-9999,-9999,-9999,-9999,-9999,-9999,0, ,0,0,16.40990067,0,0,0,0,0,0,0
